Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2019,4,1,00:00,UTC,0,,59,,0.4,5
2019,4,1,01:00,UTC,2,,57,,0.1,5.3
2019,4,1,02:00,UTC,0,,60,,-0.7,3.7
2019,4,1,03:00,UTC,0,,68,,-1.6,1
2019,4,1,04:00,UTC,0,,70,,-1.8,2.5
2019,4,1,05:00,UTC,5,,69,,-1.1,2.8
2019,4,1,06:00,UTC,0,,67,,-0.4,3.4
2019,4,1,07:00,UTC,1,,65,,0.4,3.8
2019,4,1,08:00,UTC,7,,59,,1.5,3.2
2019,4,1,09:00,UTC,3,,63,,1.7,5.3
2019,4,1,10:00,UTC,0,,59,,2.2,7.1
2019,4,1,11:00,UTC,8,,56,,2.5,7.8
2019,4,1,12:00,UTC,8,,56,,2.1,8.1
2019,4,1,13:00,UTC,8,,63,,1.7,9.3
2019,4,1,14:00,UTC,8,,93,,-0.1,7.3
2019,4,1,15:00,UTC,8,,77,,1.3,5.4
2019,4,1,16:00,UTC,8,,64,,2,5.6
2019,4,1,17:00,UTC,6,,64,,1.9,4.8
2019,4,1,18:00,UTC,8,,65,,2.1,4.2
2019,4,1,19:00,UTC,7,,66,,2.6,4.1
2019,4,1,20:00,UTC,6,,69,,2.5,4.5
2019,4,1,21:00,UTC,1,,74,,2,2.5
2019,4,1,22:00,UTC,0,,75,,2.2,3.8
2019,4,1,23:00,UTC,0,,78,,1.7,3.7
2019,4,2,00:00,UTC,0,,77,,1.8,3.6
2019,4,2,01:00,UTC,0,,80,,0.7,2.7
2019,4,2,02:00,UTC,1,,84,,-0.2,3.3
2019,4,2,03:00,UTC,0,,89,,-1.5,3.7
2019,4,2,04:00,UTC,4,,87,,-0.8,2.9
2019,4,2,05:00,UTC,4,,85,,0,3.9
2019,4,2,06:00,UTC,6,,78,,0.8,4.3
2019,4,2,07:00,UTC,0,,63,,3.1,4.4
2019,4,2,08:00,UTC,0,,53,,4.6,5
2019,4,2,09:00,UTC,0,,44,,6.1,6.7
2019,4,2,10:00,UTC,0,,35,,6.3,8.8
2019,4,2,11:00,UTC,0,,37,,7.2,8.5
2019,4,2,12:00,UTC,0,,36,,7.5,7.5
2019,4,2,13:00,UTC,0,,34,,7.9,9.9
2019,4,2,14:00,UTC,0,,33,,7.6,10
2019,4,2,15:00,UTC,0,,35,,7.1,6.2
2019,4,2,16:00,UTC,0,,36,,5.8,6.5
2019,4,2,17:00,UTC,0,,48,,3.5,4.4
2019,4,2,18:00,UTC,2,,54,,2.4,4.9
2019,4,2,19:00,UTC,2,,62,,2.3,5.9
2019,4,2,20:00,UTC,7,,59,,3.1,6.8
2019,4,2,21:00,UTC,7,,55,,3,6.9
2019,4,2,22:00,UTC,0,,57,,2.3,6.6
2019,4,2,23:00,UTC,0,,59,,1.9,6.5
2019,4,3,00:00,UTC,0,,67,,0.4,5.7
2019,4,3,01:00,UTC,0,,65,,0.6,6.3
2019,4,3,02:00,UTC,0,,67,,-0.2,5.5
2019,4,3,03:00,UTC,0,,68,,-0.7,5.2
2019,4,3,04:00,UTC,0,,68,,-0.9,5.2
2019,4,3,05:00,UTC,0,,64,,0,5.2
2019,4,3,06:00,UTC,0,,61,,1.4,5.1
2019,4,3,07:00,UTC,0,,54,,3.2,6.4
2019,4,3,08:00,UTC,0,,50,,5.3,6
2019,4,3,09:00,UTC,0,,44,,7,6
2019,4,3,10:00,UTC,0,,37,,8.4,6.4
2019,4,3,11:00,UTC,0,,32,,9.4,7.6
2019,4,3,12:00,UTC,0,,33,,10.4,8.4
2019,4,3,13:00,UTC,0,,29,,10.1,7.9
2019,4,3,14:00,UTC,1,,30,,10.1,6.4
2019,4,3,15:00,UTC,0,,30,,9.8,6.5
2019,4,3,16:00,UTC,4,,33,,7.9,2.2
2019,4,3,17:00,UTC,7,,40,,5.8,1.1
2019,4,3,18:00,UTC,4,,54,,2.9,2.7
2019,4,3,19:00,UTC,7,,56,,1.5,3
2019,4,3,20:00,UTC,0,,57,,1.8,4.3
2019,4,3,21:00,UTC,0,,59,,0.6,3.7
2019,4,3,22:00,UTC,0,,56,,2,4.1
2019,4,3,23:00,UTC,8,,52,,3.1,5.3
2019,4,4,00:00,UTC,7,,53,,3.4,5.5
2019,4,4,01:00,UTC,7,,52,,3.6,5.2
2019,4,4,02:00,UTC,8,,55,,3.6,4.9
2019,4,4,03:00,UTC,8,,56,,3.8,4.4
2019,4,4,04:00,UTC,8,,57,,4.1,4.6
2019,4,4,05:00,UTC,8,,58,,4,3.5
2019,4,4,06:00,UTC,8,,56,,4.5,4.3
2019,4,4,07:00,UTC,8,,58,,4.5,4.1
2019,4,4,08:00,UTC,8,,58,,4.9,4.8
2019,4,4,09:00,UTC,7,,55,,5.7,5.4
2019,4,4,10:00,UTC,8,,58,,5.8,5.1
2019,4,4,11:00,UTC,8,,62,,5.5,4.4
2019,4,4,12:00,UTC,8,,70,,5,4.8
2019,4,4,13:00,UTC,8,,85,,3.5,6
2019,4,4,14:00,UTC,8,,93,,2,3.6
2019,4,4,15:00,UTC,8,,95,,1.5,2.8
2019,4,4,16:00,UTC,8,,96,,1,1.7
2019,4,4,17:00,UTC,8,,98,,0.2,1.7
2019,4,4,18:00,UTC,8,,97,,0.2,2
2019,4,4,19:00,UTC,8,,96,,0.3,2.3
2019,4,4,20:00,UTC,8,,94,,0.3,3.4
2019,4,4,21:00,UTC,8,,93,,0.1,4.3
2019,4,4,22:00,UTC,8,,92,,-0.1,4.8
2019,4,4,23:00,UTC,8,,92,,-0.5,4.3
2019,4,5,00:00,UTC,8,,91,,-0.9,5.3
2019,4,5,01:00,UTC,8,,92,,-1.3,4
2019,4,5,02:00,UTC,8,,91,,-1.4,5
2019,4,5,03:00,UTC,8,,91,,-1.2,4.5
2019,4,5,04:00,UTC,8,,92,,-1.5,4.6
2019,4,5,05:00,UTC,8,,93,,-1.8,3.5
2019,4,5,06:00,UTC,8,,92,,-1.6,3.6
2019,4,5,07:00,UTC,8,,92,,-1.3,3.3
2019,4,5,08:00,UTC,8,,92,,-0.8,2.9
2019,4,5,09:00,UTC,8,,91,,-0.2,3.2
2019,4,5,10:00,UTC,8,,91,,0.8,3.3
2019,4,5,11:00,UTC,8,,90,,1.5,3.3
2019,4,5,12:00,UTC,8,,89,,2,3.4
2019,4,5,13:00,UTC,8,,88,,2.2,3.5
2019,4,5,14:00,UTC,8,,89,,2.4,3.7
2019,4,5,15:00,UTC,8,,90,,2.3,3.2
2019,4,5,16:00,UTC,8,,91,,2.3,3.3
2019,4,5,17:00,UTC,8,,90,,2.1,2.7
2019,4,5,18:00,UTC,7,,91,,1.7,2.9
2019,4,5,19:00,UTC,2,,94,,1.2,2.5
2019,4,5,20:00,UTC,0,,95,,0.5,2.7
2019,4,5,21:00,UTC,0,,94,,0.4,2.2
2019,4,5,22:00,UTC,0,,95,,0.1,2.3
2019,4,5,23:00,UTC,0,,95,,-0.2,2.2
2019,4,6,00:00,UTC,0,,93,,0.1,2.5
