Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2019,4,1,00:00,UTC,0,,64,,2,4.5
2019,4,1,01:00,UTC,0,,71,,1.5,3.5
2019,4,1,02:00,UTC,0,,73,,1.2,3.8
2019,4,1,03:00,UTC,0,,73,,1.1,3.3
2019,4,1,04:00,UTC,0,,77,,0.6,2.9
2019,4,1,05:00,UTC,0,,75,,0.7,2.1
2019,4,1,06:00,UTC,0,,69,,2,3.2
2019,4,1,07:00,UTC,0,,62,,3,3.4
2019,4,1,08:00,UTC,0,,56,,3.9,2.3
2019,4,1,09:00,UTC,0,,53,,4.3,3.4
2019,4,1,10:00,UTC,0,,46,,4.1,4.1
2019,4,1,11:00,UTC,0,,52,,4.2,3.5
2019,4,1,12:00,UTC,0,,61,,4,
2019,4,1,13:00,UTC,0,,64,,4.3,6.5
2019,4,1,14:00,UTC,0,,68,,4.3,6.1
2019,4,1,15:00,UTC,0,,74,,3.7,6
2019,4,1,16:00,UTC,0,,71,,3.8,5.4
2019,4,1,17:00,UTC,0,,75,,3.3,4.5
2019,4,1,18:00,UTC,0,,79,,2.9,3.4
2019,4,1,19:00,UTC,1,,72,,3.4,2.8
2019,4,1,20:00,UTC,0,,76,,2.8,3.5
2019,4,1,21:00,UTC,0,,73,,3,4.1
2019,4,1,22:00,UTC,0,,72,,2.6,3
2019,4,1,23:00,UTC,5,,72,,2,3.2
2019,4,2,00:00,UTC,6,,76,,1.8,2.5
2019,4,2,01:00,UTC,7,,79,,1.7,3.2
2019,4,2,02:00,UTC,0,,80,,1.8,2.9
2019,4,2,03:00,UTC,0,,86,,1.4,1.7
2019,4,2,04:00,UTC,5,,87,,1.3,2
2019,4,2,05:00,UTC,3,,81,,2,2.8
2019,4,2,06:00,UTC,1,,72,,2.7,4.2
2019,4,2,07:00,UTC,3,,65,,3.8,6.4
2019,4,2,08:00,UTC,1,,75,,3.8,8.2
2019,4,2,09:00,UTC,0,,76,,4.1,8.9
2019,4,2,10:00,UTC,0,,73,,4.2,9
2019,4,2,11:00,UTC,0,,74,,4.5,10.2
2019,4,2,12:00,UTC,0,,73,,4.9,9.4
2019,4,2,13:00,UTC,0,,68,,5.1,9.3
2019,4,2,14:00,UTC,0,,71,,4.9,8.9
2019,4,2,15:00,UTC,0,,75,,4.1,9.9
2019,4,2,16:00,UTC,0,,75,,3.7,8.2
2019,4,2,17:00,UTC,0,,73,,3.3,7.9
2019,4,2,18:00,UTC,0,,67,,3.4,7.8
2019,4,2,19:00,UTC,0,,63,,3.6,7.2
2019,4,2,20:00,UTC,0,,62,,3.5,5.5
2019,4,2,21:00,UTC,0,,61,,3.4,5
2019,4,2,22:00,UTC,0,,69,,3.3,5.2
2019,4,2,23:00,UTC,0,,67,,3.9,4.8
2019,4,3,00:00,UTC,0,,62,,4.5,5.9
2019,4,3,01:00,UTC,0,,59,,4.8,5.6
2019,4,3,02:00,UTC,0,,63,,4.2,6
2019,4,3,03:00,UTC,0,,64,,4.2,5.6
2019,4,3,04:00,UTC,0,,66,,3.9,4.3
2019,4,3,05:00,UTC,0,,66,,4.2,5.2
2019,4,3,06:00,UTC,0,,63,,4.9,6.6
2019,4,3,07:00,UTC,0,,62,,5.5,7.1
2019,4,3,08:00,UTC,0,,62,,5.7,8.2
2019,4,3,09:00,UTC,0,,59,,6.2,7.9
2019,4,3,10:00,UTC,2,,57,,6.5,8.7
2019,4,3,11:00,UTC,0,,56,,6.1,8.8
2019,4,3,12:00,UTC,1,,55,,6.2,8.5
2019,4,3,13:00,UTC,1,,51,,6.6,8.5
2019,4,3,14:00,UTC,7,,47,,7,7.7
2019,4,3,15:00,UTC,7,,53,,6.5,6.6
2019,4,3,16:00,UTC,8,,57,,6.3,6.8
2019,4,3,17:00,UTC,7,,55,,6.4,5.6
2019,4,3,18:00,UTC,8,,55,,6.4,4.2
2019,4,3,19:00,UTC,6,,59,,5.9,4.1
2019,4,3,20:00,UTC,7,,57,,6.2,3.8
2019,4,3,21:00,UTC,2,,60,,5.8,1.9
2019,4,3,22:00,UTC,7,,62,,5.9,4.3
2019,4,3,23:00,UTC,7,,61,,6,6.1
2019,4,4,00:00,UTC,7,,55,,6.5,7
2019,4,4,01:00,UTC,2,,51,,6.9,7.7
2019,4,4,02:00,UTC,0,,58,,5.8,6.8
2019,4,4,03:00,UTC,2,,61,,5.4,5.9
2019,4,4,04:00,UTC,7,,61,,5.2,5.8
2019,4,4,05:00,UTC,5,,61,,5.2,6
2019,4,4,06:00,UTC,2,,62,,5.6,6.5
2019,4,4,07:00,UTC,3,,61,,5.7,8.2
2019,4,4,08:00,UTC,0,,59,,6.3,7
2019,4,4,09:00,UTC,5,,60,,6.5,6.9
2019,4,4,10:00,UTC,0,,60,,6.7,7.7
2019,4,4,11:00,UTC,0,,57,,6.6,7
2019,4,4,12:00,UTC,0,,58,,6.9,8.2
2019,4,4,13:00,UTC,0,,53,,6.9,7.3
2019,4,4,14:00,UTC,0,,47,,7.7,7.5
2019,4,4,15:00,UTC,0,,43,,8,6.3
2019,4,4,16:00,UTC,0,,42,,7.8,5.4
2019,4,4,17:00,UTC,6,,44,,7.5,4
2019,4,4,18:00,UTC,4,,47,,7.1,3.6
2019,4,4,19:00,UTC,2,,55,,5.8,2
2019,4,4,20:00,UTC,7,,58,,5.7,0.9
2019,4,4,21:00,UTC,1,,68,,2.1,0.9
2019,4,4,22:00,UTC,0,,72,,1.4,1
