,rank,points,goalsDiff,group,form,status,description,update,team.id,team.name,team.logo,all.played,all.win,all.draw,all.lose,all.goals.for,all.goals.against,home.played,home.win,home.draw,home.lose,home.goals.for,home.goals.against,away.played,away.win,away.draw,away.lose,away.goals.for,away.goals.against
0,1,73,53,Veikkausliiga,WWWDW,same,UEFA Champions League Qualifiers,2018-02-15T00:00:00+00:00,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,33,22,7,4,78,25,17,12,2,3,41,14,16,10,5,1,37,11
1,2,61,14,Veikkausliiga,WWLLD,same,UEFA Europa League,2018-02-15T00:00:00+00:00,1169,Honka,https://media.api-sports.io/football/teams/1169.png,33,18,7,8,51,37,16,11,3,2,30,17,17,7,4,6,21,20
2,3,51,2,Veikkausliiga,LWDDW,same,UEFA Europa League,2018-02-15T00:00:00+00:00,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,33,14,9,10,41,39,16,7,6,3,25,17,17,7,3,7,16,22
3,4,49,-5,Veikkausliiga,WDLWW,up,,2018-02-15T00:00:00+00:00,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,33,14,7,12,57,62,17,8,4,5,29,29,16,6,3,7,28,33
4,5,48,-2,Veikkausliiga,WLWWW,down,,2018-02-15T00:00:00+00:00,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,33,15,3,15,47,49,17,9,1,7,27,19,16,6,2,8,20,30
5,6,47,5,Veikkausliiga,WWDLL,up,,2018-02-15T00:00:00+00:00,2243,MyPa,https://media.api-sports.io/football/teams/2243.png,33,14,5,14,42,37,17,9,3,5,23,13,16,5,2,9,19,24
6,7,41,1,Veikkausliiga,LLWWW,down,,2018-02-15T00:00:00+00:00,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,33,11,8,14,43,42,16,7,4,5,21,15,17,4,4,9,22,27
7,8,41,-4,Veikkausliiga,LDWWL,same,,2018-02-15T00:00:00+00:00,1168,Turku PS,https://media.api-sports.io/football/teams/1168.png,33,10,11,12,42,46,17,7,5,5,25,24,16,3,6,7,17,22
8,9,40,-7,Veikkausliiga,LWWWL,same,,2018-02-15T00:00:00+00:00,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,33,9,13,11,31,38,17,5,7,5,18,17,16,4,6,6,13,21
9,10,37,-9,Veikkausliiga,WLLLL,same,,2018-02-15T00:00:00+00:00,2075,FF Jaro,https://media.api-sports.io/football/teams/2075.png,33,9,10,14,41,50,16,7,4,5,30,25,17,2,6,9,11,25
10,11,34,-11,Veikkausliiga,LLLLL,same,,2018-02-15T00:00:00+00:00,1167,Rops,https://media.api-sports.io/football/teams/1167.png,33,8,10,15,25,36,16,6,5,5,16,12,17,2,5,10,9,24
11,12,22,-37,Veikkausliiga,LLLLD,same,Relegation,2018-02-15T00:00:00+00:00,1171,JJK,https://media.api-sports.io/football/teams/1171.png,33,4,10,19,27,64,16,3,6,7,12,26,17,1,4,12,15,38
