,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
0,672568,"Oskari Hamalainen, Finland",UTC,2021-06-15T15:00:00+00:00,1623769200,1623769200.0,1623772800.0,615.0,Bolt Arena,Helsinki,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 1,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,True,1169,Honka,https://media.api-sports.io/football/teams/1169.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
1,672569,"Dennis Antamo, Finland",UTC,2021-06-14T15:30:00+00:00,1623684600,1623684600.0,1623688200.0,,Wiklof Holding Arena,Mariehamn,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 1,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,False,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
2,672570,"Antti Munukka, Finland",UTC,2021-06-14T15:30:00+00:00,1623684600,1623684600.0,1623688200.0,622.0,Savon Sanomat Areena,Kuopio,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 1,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,True,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
3,672571,"Mattias Gestranius, Finland",UTC,2021-06-14T15:30:00+00:00,1623684600,1623684600.0,1623688200.0,629.0,OmaSP Stadion,Seinäjoki,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 1,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
4,672572,"Mohammad Al-Emara, Finland",UTC,2021-06-15T15:30:00+00:00,1623771000,1623771000.0,1623774600.0,614.0,Tehtaan kenttä,Valkeakoski,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 1,2080,haka,https://media.api-sports.io/football/teams/2080.png,,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
5,672573,V. Nevalainen,UTC,2021-06-15T15:30:00+00:00,1623771000,1623771000.0,1623774600.0,621.0,Arto Tolsa Areena,Kotka,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 1,2076,Kooteepee,https://media.api-sports.io/football/teams/2076.png,False,2077,AC oulu,https://media.api-sports.io/football/teams/2077.png,True,1.0,3.0,0.0,0.0,1.0,3.0,,,,
6,672574,P. Simani,UTC,2021-09-18T14:00:00+00:00,1631973600,1631973600.0,1631977200.0,623.0,Lahden Stadion,Lahti,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 2,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,2077,AC oulu,https://media.api-sports.io/football/teams/2077.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,672575,"Dennis Antamo, Finland",UTC,2021-09-18T12:00:00+00:00,1631966400,1631966400.0,1631970000.0,615.0,Bolt Arena,Helsinki,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 2,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,0.0,3.0,0.0,2.0,0.0,3.0,,,,
8,672576,"Oliver Reitala, Finland",UTC,2021-09-19T12:00:00+00:00,1632052800,1632052800.0,1632056400.0,,Tapiolan Urheilupuisto,Espoo,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 2,1169,Honka,https://media.api-sports.io/football/teams/1169.png,,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9,672577,"Oliver Reitala, Finland",UTC,2021-06-18T15:30:00+00:00,1624030200,1624030200.0,1624033800.0,,Veritas Stadium,Turku,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 2,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,689,SJK,https://media.api-sports.io/football/teams/689.png,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
10,672578,"Antti Munukka, Finland",UTC,2021-09-18T14:00:00+00:00,1631973600,1631973600.0,1631977200.0,614.0,Tehtaan kenttä,Valkeakoski,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 2,2080,haka,https://media.api-sports.io/football/teams/2080.png,False,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
11,672579,"Mattias Gestranius, Finland",UTC,2021-09-18T14:00:00+00:00,1631973600,1631973600.0,1631977200.0,621.0,Arto Tolsa Areena,Kotka,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 2,2076,Kooteepee,https://media.api-sports.io/football/teams/2076.png,False,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,True,1.0,2.0,1.0,2.0,1.0,2.0,,,,
12,672580,"Oskari Hamalainen, Finland",UTC,2021-09-26T15:30:00+00:00,1632670200,1632670200.0,1632673800.0,12286.0,Väre Areena,Kuopio,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 3,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
13,672581,"Hyytia Jouni, Finland",UTC,2021-09-26T15:30:00+00:00,1632670200,1632670200.0,1632673800.0,629.0,OmaSP Stadion,Seinäjoki,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 3,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,False,4.0,1.0,3.0,0.0,4.0,1.0,,,,
14,672582,"Ville Nevalainen, Finland",UTC,2021-09-26T15:30:00+00:00,1632670200,1632670200.0,1632673800.0,,Tammela Stadium,Tampere,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 3,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,,1169,Honka,https://media.api-sports.io/football/teams/1169.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
15,672583,"Dennis Antamo, Finland",UTC,2021-09-26T15:30:00+00:00,1632670200,1632670200.0,1632673800.0,615.0,Bolt Arena,Helsinki,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2021,Regular Season - 3,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,False,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
