,Unnamed: 0,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away,home.streak,away.streak,home.win.percent,away.win.percent,home.h2h.win.percent,away.h2h.win.percent,air.temp,cloud.amount,dewpoint.temp,rain.amount,rain.intensity,humidity,wind.speed,station.distance,team,opponent,home,result,streak,opp.streak,win.percent,opp.win.percent,h2h.win.percent,opp.h2h.win.percent,team.last.placement,opponent.last.placement
0,0,522609,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Paavo Nurmi Stadion,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1168,Turku PS,https://media.api-sports.io/football/teams/1168.png,False,2243,MyPa,https://media.api-sports.io/football/teams/2243.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,,0,0,0.5,0.5,0.5,0.5,6.7,,-3.5,,,48.4,1.8800000000000001,4,Turku PS,MyPa,1,False,0,0,0.5,0.5,0.5,0.5,3,9
0,0,522609,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Paavo Nurmi Stadion,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1168,Turku PS,https://media.api-sports.io/football/teams/1168.png,False,2243,MyPa,https://media.api-sports.io/football/teams/2243.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,,0,0,0.5,0.5,0.5,0.5,6.7,,-3.5,,,48.4,1.8800000000000001,4,MyPa,Turku PS,0,True,0,0,0.5,0.5,0.5,0.5,9,3
1,1,522610,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Tapiolan Urheilupuisto,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1169,Honka,https://media.api-sports.io/football/teams/1169.png,Draw,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,Draw,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0.5,0.5,0.5,0.5,8.455555555555556,,-1.0555555555555556,,,51.44444444444444,2.4444444444444446,4,Honka,vaasa PS,1,Draw,0,0,0.5,0.5,0.5,0.5,8,11
1,1,522610,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Tapiolan Urheilupuisto,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1169,Honka,https://media.api-sports.io/football/teams/1169.png,Draw,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,Draw,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0.5,0.5,0.5,0.5,8.455555555555556,,-1.0555555555555556,,,51.44444444444444,2.4444444444444446,4,vaasa PS,Honka,0,Draw,0,0,0.5,0.5,0.5,0.5,11,8
2,2,522611,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Lahden Stadion,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,2080,haka,https://media.api-sports.io/football/teams/2080.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,0,0,0.5,0.5,0.5,0.5,7.529999999999999,1.7,-3.1100000000000003,,,47.0,1.61,3,FC Lahti,haka,1,True,0,0,0.5,0.5,0.5,0.5,13,10
2,2,522611,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Lahden Stadion,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,2080,haka,https://media.api-sports.io/football/teams/2080.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,,0,0,0.5,0.5,0.5,0.5,7.529999999999999,1.7,-3.1100000000000003,,,47.0,1.61,3,haka,FC Lahti,0,False,0,0,0.5,0.5,0.5,0.5,10,13
3,3,522612,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Sonera Stadium,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,False,3.0,1.0,0.0,0.0,3.0,1.0,,,,,0,0,0.5,0.5,0.5,0.5,7.35,0.3,0.01000000000000002,,,59.9,,2,HJK helsinki,IFK Mariehamn,1,True,0,0,0.5,0.5,0.5,0.5,1,5
3,3,522612,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,,Sonera Stadium,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,False,3.0,1.0,0.0,0.0,3.0,1.0,,,,,0,0,0.5,0.5,0.5,0.5,7.35,0.3,0.01000000000000002,,,59.9,,2,IFK Mariehamn,HJK helsinki,0,False,0,0,0.5,0.5,0.5,0.5,5,1
4,4,522613,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,622.0,Savon Sanomat Areena,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,Draw,1171,JJK,https://media.api-sports.io/football/teams/1171.png,Draw,2.0,2.0,0.0,0.0,2.0,2.0,,,,,0,0,0.5,0.5,0.5,0.5,2.2199999999999998,7.8,-0.19,,,84.2,3.1799999999999997,2,KuPS,JJK,1,Draw,0,0,0.5,0.5,0.5,0.5,4,7
4,4,522613,,UTC,2012-04-15T15:30:00+00:00,1334503800,1334503800.0,1334507400.0,622.0,Savon Sanomat Areena,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 1,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,Draw,1171,JJK,https://media.api-sports.io/football/teams/1171.png,Draw,2.0,2.0,0.0,0.0,2.0,2.0,,,,,0,0,0.5,0.5,0.5,0.5,2.2199999999999998,7.8,-0.19,,,84.2,3.1799999999999997,2,JJK,KuPS,0,Draw,0,0,0.5,0.5,0.5,0.5,7,4
6,6,522615,,UTC,2012-04-18T15:30:00+00:00,1334763000,1334763000.0,1334766600.0,,Lahden Stadion,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 2,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,1169,Honka,https://media.api-sports.io/football/teams/1169.png,False,2.0,1.0,1.0,0.0,2.0,1.0,,,,,1,0,1.0,0.0,0.5,0.5,2.74,7.4,-3.3,,,64.5,1.7700000000000002,3,FC Lahti,Honka,1,True,1,0,1.0,0.0,0.5,0.5,13,8
6,6,522615,,UTC,2012-04-18T15:30:00+00:00,1334763000,1334763000.0,1334766600.0,,Lahden Stadion,,Match Finished,FT,90.0,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2012,Regular Season - 2,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,1169,Honka,https://media.api-sports.io/football/teams/1169.png,False,2.0,1.0,1.0,0.0,2.0,1.0,,,,,1,0,1.0,0.0,0.5,0.5,2.74,7.4,-3.3,,,64.5,1.7700000000000002,3,Honka,FC Lahti,0,False,0,1,0.0,1.0,0.5,0.5,8,13
